ID1_price,Hour,DayOfWeek,Month,action,reward,cumulative_reward
-8.58,0,6,1,0,5.426468372344971,5.426468372344971
-12.32,1,6,1,2,-7.012666702270508,-1.586198329925537
-5.14,2,6,1,0,3.250821352005005,1.6646230220794678
-9.26,3,6,1,1,0.0,1.6646230220794678
-5.08,4,6,1,1,0.0,1.6646230220794678
-1.68,5,6,1,1,0.0,1.6646230220794678
-4.99,6,6,1,1,0.0,1.6646230220794678
-3.14,7,6,1,1,0.0,1.6646230220794678
-4.8,8,6,1,1,0.0,1.6646230220794678
-3.53,9,6,1,1,0.0,1.6646230220794678
-7.58,10,6,1,1,0.0,1.6646230220794678
-15.75,11,6,1,1,0.0,1.6646230220794678
-7.79,12,6,1,1,0.0,1.6646230220794678
-5.59,13,6,1,1,0.0,1.6646230220794678
2.44,14,6,1,1,0.0,1.6646230220794678
28.39,15,6,1,1,0.0,1.6646230220794678
81.36,16,6,1,1,0.0,1.6646230220794678
84.08,17,6,1,1,0.0,1.6646230220794678
104.24,18,6,1,1,0.0,1.6646230220794678
77.67,19,6,1,1,0.0,1.6646230220794678
47.18,20,6,1,1,0.0,1.6646230220794678
65.18,21,6,1,1,0.0,1.6646230220794678
63.87,22,6,1,2,36.35544204711914,38.02006506919861
68.43,23,6,1,1,0.0,38.02006506919861
59.71,0,0,1,1,0.0,38.02006506919861
2.14,1,0,1,0,-1.353454828262329,36.66661024093628
50.41,2,0,1,2,28.69387435913086,65.36048460006714
27.43,3,0,1,0,-17.348255157470703,48.012229442596436
36.92,4,0,1,1,0.0,48.012229442596436
23.46,5,0,1,1,0.0,48.012229442596436
39.89,6,0,1,1,0.0,48.012229442596436
81.23,7,0,1,1,0.0,48.012229442596436
89.02,8,0,1,1,0.0,48.012229442596436
93.93,9,0,1,1,0.0,48.012229442596436
119.41,10,0,1,1,0.0,48.012229442596436
158.14,11,0,1,1,0.0,48.012229442596436
119.26,12,0,1,1,0.0,48.012229442596436
108.85,13,0,1,1,0.0,48.012229442596436
137.15,14,0,1,1,0.0,48.012229442596436
155.81,15,0,1,1,0.0,48.012229442596436
156.31,16,0,1,1,0.0,48.012229442596436
169.65,17,0,1,2,96.56647491455078,144.57870435714722
173.77,18,0,1,1,0.0,144.57870435714722
165.24,19,0,1,1,0.0,144.57870435714722
134.53,20,0,1,1,0.0,144.57870435714722
123.73,21,0,1,1,0.0,144.57870435714722
117.38,22,0,1,1,0.0,144.57870435714722
122.5,23,0,1,1,0.0,144.57870435714722
95.35,0,1,1,1,0.0,144.57870435714722
111.67,1,1,1,1,0.0,144.57870435714722
84.28,2,1,1,0,-53.30335235595703,91.27535200119019
105.27,3,1,1,1,0.0,91.27535200119019
116.67,4,1,1,1,0.0,91.27535200119019
115.96,5,1,1,1,0.0,91.27535200119019
156.02,6,1,1,1,0.0,91.27535200119019
180.57,7,1,1,1,0.0,91.27535200119019
163.3,8,1,1,2,92.95198822021484,184.22734022140503
166.56,9,1,1,1,0.0,184.22734022140503
160.84,10,1,1,1,0.0,184.22734022140503
165.39,11,1,1,1,0.0,184.22734022140503
176.33,12,1,1,1,0.0,184.22734022140503
171.75,13,1,1,1,0.0,184.22734022140503
174.84,14,1,1,1,0.0,184.22734022140503
188.66,15,1,1,1,0.0,184.22734022140503
183.93,16,1,1,1,0.0,184.22734022140503
208.48,17,1,1,1,0.0,184.22734022140503
236.62,18,1,1,1,0.0,184.22734022140503
166.74,19,1,1,1,0.0,184.22734022140503
151.07,20,1,1,1,0.0,184.22734022140503
102.18,21,1,1,1,0.0,184.22734022140503
81.5,22,1,1,1,0.0,184.22734022140503
69.4,23,1,1,1,0.0,184.22734022140503
51.93,0,2,1,1,0.0,184.22734022140503
19.09,1,2,1,1,0.0,184.22734022140503
7.77,2,2,1,0,-4.91417932510376,179.31316089630127
-5.8,3,2,1,1,0.0,179.31316089630127
-6.56,4,2,1,1,0.0,179.31316089630127
0.15,5,2,1,1,0.0,179.31316089630127
80.15,6,2,1,1,0.0,179.31316089630127
63.25,7,2,1,1,0.0,179.31316089630127
63.78,8,2,1,1,0.0,179.31316089630127
68.54,9,2,1,1,0.0,179.31316089630127
41.91,10,2,1,1,0.0,179.31316089630127
58.01,11,2,1,1,0.0,179.31316089630127
73.23,12,2,1,1,0.0,179.31316089630127
57.36,13,2,1,1,0.0,179.31316089630127
55.99,14,2,1,1,0.0,179.31316089630127
59.96,15,2,1,1,0.0,179.31316089630127
43.3,16,2,1,1,0.0,179.31316089630127
53.97,17,2,1,1,0.0,179.31316089630127
40.58,18,2,1,1,0.0,179.31316089630127
13.6,19,2,1,1,0.0,179.31316089630127
25.99,20,2,1,2,14.793766975402832,194.1069278717041
34.03,21,2,1,1,0.0,194.1069278717041
43.44,22,2,1,1,0.0,194.1069278717041
19.87,23,2,1,1,0.0,194.1069278717041
7.78,0,3,1,1,0.0,194.1069278717041
-2.36,1,3,1,0,1.4925950765609741,195.59952294826508
2.25,2,3,1,1,0.0,195.59952294826508
-0.44,3,3,1,1,0.0,195.59952294826508
1.27,4,3,1,1,0.0,195.59952294826508
4.8,5,3,1,1,0.0,195.59952294826508
65.18,6,3,1,1,0.0,195.59952294826508
107.25,7,3,1,1,0.0,195.59952294826508
130.43,8,3,1,1,0.0,195.59952294826508
154.55,9,3,1,1,0.0,195.59952294826508
159.52,10,3,1,2,90.80037689208984,286.3998998403549
169.01,11,3,1,1,0.0,286.3998998403549
128.45,12,3,1,0,-81.2389144897461,205.16098535060883
145.36,13,3,1,1,0.0,205.16098535060883
163.49,14,3,1,1,0.0,205.16098535060883
144.99,15,3,1,1,0.0,205.16098535060883
142.84,16,3,1,1,0.0,205.16098535060883
164.56,17,3,1,2,93.66919708251953,298.83018243312836
154.47,18,3,1,1,0.0,298.83018243312836
141.6,19,3,1,1,0.0,298.83018243312836
