lags,ar_order,ma_order,out_of_sample_rmse,aic,bic
2,0,0,35.77098638620526,161513.4368445323,161562.9713066561
2,0,1,35.77296209950243,87461.78573696408,87518.39563606371
2,0,2,35.773620775565234,86383.89460743946,86447.57971470818
4,0,0,35.77692203174788,161486.0145350222,161549.7006715093
2,0,3,35.7787768699833,85712.17251098089,85782.9325975727
4,0,1,35.778818376610346,87453.64670694276,87524.40793724133
4,0,2,35.78102676362767,86352.56390458225,86430.39999983323
4,0,3,35.78698525072046,85731.95832993875,85816.86906124382
2,0,4,35.79817561572155,85300.6581027366,85378.49293976626
3,0,0,35.80157784666469,161512.57689335814,161569.18770721392
3,0,1,35.80349192888557,87445.04013747809,87508.72627396516
4,0,4,35.80398953416934,85326.14070903308,85418.12584745462
3,0,2,35.80569961829425,86401.19507448333,86471.9563047819
1,0,0,35.807711386983655,161532.37540461766,161574.8342009982
1,0,1,35.80854884211132,87498.4885661573,87548.02302828111
1,0,2,35.80922178954507,86422.71989503625,86479.32979413588
3,0,3,35.81331272504107,85729.4000512345,85807.23614648548
1,0,3,35.815290445007804,85750.4982393733,85814.183346642
3,0,4,35.82945774576485,85317.7821887229,85402.69292002797
2,1,0,35.83132141034992,84666.9879659593,84723.59877981509
1,0,4,35.83559642242959,85338.03426695266,85408.79435354446
4,1,0,35.83838001535761,84683.28146429815,84754.04383817269
3,1,0,35.86440469180091,84683.59829313745,84747.28545872521
1,1,0,35.868902802638274,84720.72294853197,84770.25821097591
2,2,0,35.88343290176536,84407.64261609995,84471.32875258703
2,1,1,35.88999193274661,84347.89492622294,84411.58106271001
4,2,0,35.89588922367025,84437.20893961696,84515.04629294538
3,3,1,35.908740871467806,84365.592725268,84450.50620162627
1,3,1,35.91325763871865,84387.102508585,84457.86488245953
2,3,1,35.91442175982401,84348.22637347385,84426.06372680227
4,3,1,35.91573956918724,84381.33091418186,84473.31902675121
3,2,0,35.91580246144978,84435.0483056904,84505.81067956494
1,2,0,35.92430125426914,84446.92058152692,84503.53139538271
2,3,0,35.92653713709232,84333.42268790655,84404.18391820512
1,1,1,35.928153197603926,84385.61001427364,84442.22082812943
4,1,1,35.92839169079284,84377.8446377297,84455.68199105811
2,4,1,35.93033700364569,84321.38558259614,84406.29768650631
2,2,2,35.93786141705108,84312.04596173558,84389.883315064
2,2,3,35.94079256332225,84302.79171136222,84387.7038152724
4,4,0,35.941512475233246,84335.40402742071,84427.3906530012
4,1,2,35.94288909687573,84332.20845121203,84417.12055512221
2,1,3,35.944005874533964,84300.82800328294,84378.66409853392
2,1,2,35.947110237808054,84310.23393136571,84380.99516166428
4,4,1,35.94724385197684,84344.08998510263,84443.15250495856
3,1,1,35.948913984122385,84371.70160978264,84442.46398365717
3,4,0,35.95315135787963,84331.32235739139,84416.23446130156
3,3,0,35.96459406734277,84349.436246033,84427.27359936142
3,4,1,35.96915076576277,84338.62662502755,84430.6147375969
1,3,0,35.97021433802162,84372.591949772,84436.27808625907
1,4,1,35.974373462688014,84361.28784534376,84439.12519867218
3,2,2,35.97458258449906,84329.19649279203,84414.1099691503
3,1,2,35.97646050558672,84326.09050560709,84403.92785893551
1,2,2,35.978214967912656,84352.24663076898,84423.0090046435
1,1,2,35.9786508049514,84349.99355368478,84413.67969017185
4,4,2,36.39798954566009,84357.42226098172,84463.56067511307
3,4,4,37.43185584770055,84241.48221603283,84354.69652443961
2,4,4,38.37982414833431,84322.34485502349,84428.48326915484
1,4,4,38.57824284912382,84341.51092205002,84440.57504327854
2,2,1,39.64818868339312,84196.94441357447,84267.706787449
2,3,4,39.72143440920341,84173.55624780152,84272.61876765745
2,4,0,39.7235830344653,84192.64537538946,84270.48147064044
2,4,3,39.72986687272566,84176.86228179275,84275.92640302128
3,2,1,39.73169394310061,84198.7339489804,84276.57256024238
2,1,4,39.73720391945939,84166.74360855459,84251.65433985967
3,3,4,39.744913876854504,84176.19711645039,84282.33553058174
2,3,3,39.74929545842967,84181.10692600411,84273.09503857346
2,2,4,39.75972388436019,84170.06770646814,84262.05433204863
