lags,ar_order,ma_order,out_of_sample_rmse,aic,bic,error
4,0,1,36.236477499069466,86573.39462058897,86644.16613836629,
4,0,2,36.23648126705546,85622.11094339272,85699.958356164,
4,0,0,36.23688938182514,160298.18216848874,160361.8775626485,
3,0,2,36.24429686910693,85635.76565122938,85706.5371690067,
3,0,1,36.24429840745624,86575.84850661743,86639.5439007772,
3,0,0,36.2446121975511,160315.15537570088,160371.77441765863,
2,0,1,36.250267114796046,86570.6810057559,86627.2991338979,
2,0,0,36.2503339360115,160313.95611756376,160363.4977792768,
2,0,2,36.250426135213445,85643.7209354484,85707.41530144798,
4,0,3,36.28688760447558,84988.66191646834,85073.58499557077,
3,0,3,36.29378179722972,85001.39119303848,85079.23860580976,
2,0,3,36.29749482793055,85000.5052461207,85071.27562136731,
4,0,4,36.30257272104981,84717.20871326735,84809.20722999892,
1,0,1,36.30625820027321,86600.11642119753,86649.65808291057,
1,0,0,36.30639231554944,160333.111297748,160375.57626449986,
1,0,2,36.306430635080936,85663.90616755975,85720.52429570175,
3,0,4,36.31088050505259,84720.08675071795,84805.00982982038,
2,0,4,36.31511250738873,84722.32248592764,84800.16864177154,
1,0,3,36.354296216119444,85059.56287897704,85123.25724497663,
1,0,4,36.37110320182557,84751.60608453979,84822.3764597864,
4,4,2,36.42277697781791,84428.78258892754,84534.93643780558,
4,1,0,36.434718727653134,84501.03980742322,84571.81246760073,
3,1,0,36.436611674011566,84508.80758188838,84572.50400409086,
2,1,0,36.44697473169702,84510.93051561347,84567.54955757123,
2,4,2,36.47538321606354,84428.68710815156,84520.68859597215,
4,3,3,36.49010337804738,84470.28409670059,84576.43794557863,
4,2,3,36.491834758961836,94348.62181687105,94447.69874249055,
2,3,3,36.50612522499806,84426.81254393945,84518.81403176005,
2,2,3,36.51231254172026,84437.27133410702,84522.19578440297,
1,1,0,36.51251812036112,84547.89317350922,84597.43563471972,
4,4,1,36.520179204595465,84388.42717869981,84487.50410431932,
3,2,4,36.52228182474429,84388.0784325382,84487.1553581577,
4,3,2,36.522373445618655,84400.03320714408,84499.11173248934,
4,1,3,36.524863919928286,84384.35472850064,84476.3547308616,
1,4,2,36.525333990774826,84460.60306526526,84545.52888659804,
2,2,4,36.525702382506445,84391.39353935869,84483.39354171965,
3,4,0,36.52694911280411,84391.11318201262,84476.03763230857,
3,4,1,36.52943924629392,84395.68431437254,84487.68580219314,
2,4,4,36.529979939314714,84389.7171266379,84495.87097551594,
2,3,4,36.531610577164905,84402.28080192106,84501.35772754057,
3,3,2,36.532200985899905,84407.84743433203,84499.85040744254,
2,4,0,36.53378620457891,84394.07805977052,84471.9254725418,
3,1,3,36.534832432230175,84391.42081846255,84476.3452687585,
2,4,1,36.53548136277289,84398.69027692892,84483.61472722486,
4,2,2,36.53555136972629,84395.18103708109,84487.18252490168,
2,3,2,36.538564146775364,84411.387772822,84496.31359415478,
2,1,3,36.541057122265876,84394.4009776302,84472.24839040148,
4,2,0,36.541938191289525,84405.27632685762,84483.12499641268,
4,1,2,36.542939936109505,84397.46338074197,84482.38783103792,
4,3,1,36.546399557903506,84399.80604192754,84491.80752974814,
4,2,1,36.54653869338326,84406.92789576703,84491.85371709982,
3,2,2,36.546928752044785,84403.72876563206,84488.65458696484,
4,3,0,36.547233481312645,84398.08247169228,84483.00692198823,
3,2,0,36.54980277305481,84412.94103299108,84483.71369316858,
3,1,2,36.551788970333625,84405.21236178253,84483.06103133758,
2,2,2,36.55386428552201,84407.40674447548,84485.25541403053,
2,2,0,36.554902918935525,84416.2054420646,84479.90083622436,
3,3,1,36.555071328556664,84407.1552907026,84492.08111203539,
3,3,0,36.555952363212945,84405.64080173531,84483.48947129036,
3,2,1,36.5562123636871,84414.43150029545,84492.2814264907,
2,1,2,36.55788570872443,84408.45062499287,84479.22214277019,
4,1,1,36.55849883054745,84406.18082003774,84484.0294895928,
2,3,1,36.56126305466817,84410.19885043397,84488.04751998902,
2,3,0,36.562140776272784,84408.76580012217,84479.53731789949,
2,2,1,36.56222753926157,84417.61013204874,84488.38279222624,
3,1,1,36.56656482677845,84413.5157594119,84484.2884195894,
2,1,1,36.571572671420114,84416.57088107185,84480.26627523161,
1,2,3,36.57494065449553,84477.98491072521,84555.83358028026,
1,3,4,36.59212888435302,84434.38869303136,84526.39018085196,
1,4,0,36.594656747595074,84428.22079364097,84498.99231141829,
1,4,1,36.596179459426516,84432.96900769716,84510.81767725221,
1,3,2,36.59868085329778,84445.30250940588,84523.15243560114,
1,1,3,36.601155605699724,84428.38692736132,84499.15844513864,
1,2,2,36.614201264527054,84441.33615771531,84512.10881789282,
1,2,0,36.61512129707607,84450.35545963875,84506.97450159652,
1,1,2,36.618074464867824,84442.53038471486,84506.22577887462,
1,3,1,36.62147502502984,84444.2418505673,84515.0145107448,
1,3,0,36.622406030731774,84442.8328637825,84506.52825794226,
1,2,1,36.62277964322739,84451.69931061282,84515.3957328153,
3,3,3,36.628415657821456,84417.98614343021,84517.06466877548,
1,3,3,36.63704750695552,84437.29158303981,84522.2174043726,
3,2,3,36.64945947711366,84444.548333732,84536.5498215526,
3,4,2,36.65703018563552,84405.02056075893,84504.0990861042,
2,1,4,38.803235612076705,84310.13450476609,84395.05758386852,
1,4,4,38.95138934496931,84333.51911904177,84432.59764438703,
0,0,1,39.49141567656525,86614.86682733124,86657.33110879955,
0,0,0,39.49209638654009,160445.20915781238,160480.5966301056,
0,0,2,39.53022185188137,85628.94315308647,85678.48401521072,
4,4,4,39.53516793382271,84295.76673302129,84416.07248567026,
0,0,3,39.537936161068195,84936.70992576669,84993.32713998854,
0,0,4,39.56494006792018,84652.912198614,84716.60553633595,
3,1,4,39.68893764337684,84300.4669678773,84392.46697023827,
4,1,4,39.765710647369076,84295.21469531412,84394.29002102504,
4,2,4,39.84905983151242,84286.12796618679,84392.28010087706,
1,1,4,40.02833343180914,84319.6971941515,84397.54460692278,
3,4,4,40.03657810187574,84284.0329408613,84397.26371299788,
3,3,4,40.040691371708405,84290.18858298345,84396.34243186149,
4,3,4,40.185857593567206,84283.96234413331,84397.19128780294,
1,2,4,40.42040420522781,84306.94991227762,84391.87436257357,
4,4,0,40.67937475748021,84276.30459719952,84368.30459956048,
1,1,1,40.80123267041442,84309.177222107,84365.79626406476,
1,4,3,,,,Input contains NaN.
2,4,3,,,,Input contains NaN.
3,4,3,,,,Input contains NaN.
4,4,3,,,,Input contains NaN.
