time_step,action,price,soc,reward,cumulative_reward
0,CHARGE,-5.75,0.2,3.636619309193637,3.636619309193637
1,DISCHARGE,-4.07,0.8,-2.3166846138393553,1.3199346953542817
2,CHARGE,-3.84,0.2,2.4286292430093157,3.7485639383635974
3,IDLE,1.02,0.8,0.0,3.7485639383635974
4,IDLE,3.88,0.8,0.0,3.7485639383635974
5,DISCHARGE,11.7,0.8,6.659756752314607,10.408320690678204
6,CHARGE,2.31,0.2,-1.4609722789977917,8.947348411680412
7,IDLE,7.97,0.8,0.0,8.947348411680412
8,DISCHARGE,24.97,0.8,14.213173171392798,23.160521583073212
9,CHARGE,-4.74,0.2,2.9978392218396244,26.158360804912835
10,IDLE,-4.59,0.8,0.0,26.158360804912835
11,DISCHARGE,7.91,0.8,4.502450932547739,30.660811737460573
12,IDLE,-10.23,0.2,0.0,30.660811737460573
13,CHARGE,-10.51,0.2,6.6471076416739345,37.30791937913451
14,IDLE,9.38,0.8,0.0,37.30791937913451
15,IDLE,50.43,0.8,0.0,37.30791937913451
16,IDLE,52.19,0.8,0.0,37.30791937913451
17,DISCHARGE,59.05,0.8,33.61184924992971,70.91976862906422
18,IDLE,56.63,0.2,0.0,70.91976862906422
19,IDLE,47.26,0.2,0.0,70.91976862906422
20,CHARGE,37.43,0.2,-23.67281056402049,47.24695806504373
21,DISCHARGE,45.99,0.8,26.177966926405883,73.42492499144961
22,IDLE,28.94,0.2,0.0,73.42492499144961
23,CHARGE,17.08,0.2,-10.802340487135185,62.62258450431443
24,DISCHARGE,22.08,0.8,12.568156332573208,75.19074083688764
25,IDLE,17.27,0.2,0.0,75.19074083688764
26,CHARGE,11.88,0.2,-7.513571720560072,67.67716911632758
27,IDLE,13.58,0.8,0.0,67.67716911632758
28,IDLE,12.26,0.8,0.0,67.67716911632758
29,IDLE,12.49,0.8,0.0,67.67716911632758
30,IDLE,27.48,0.8,0.0,67.67716911632758
31,IDLE,46.12,0.8,0.0,67.67716911632758
32,IDLE,50.72,0.8,0.0,67.67716911632758
33,IDLE,69.43,0.8,0.0,67.67716911632758
34,IDLE,77.74,0.8,0.0,67.67716911632758
35,IDLE,72.78,0.8,0.0,67.67716911632758
36,DISCHARGE,82.78,0.8,47.11920204757293,114.7963711639005
37,IDLE,81.12,0.2,0.0,114.7963711639005
38,IDLE,76.78,0.2,0.0,114.7963711639005
39,IDLE,76.79,0.2,0.0,114.7963711639005
40,IDLE,82.07,0.2,0.0,114.7963711639005
41,IDLE,78.52,0.2,0.0,114.7963711639005
42,IDLE,67.32,0.2,0.0,114.7963711639005
43,IDLE,63.67,0.2,0.0,114.7963711639005
44,IDLE,36.52,0.2,0.0,114.7963711639005
45,IDLE,34.66,0.2,0.0,114.7963711639005
46,CHARGE,20.31,0.2,-12.84517185560396,101.95119930829654
47,DISCHARGE,36.08,0.8,20.537096036197525,122.48829534449406
48,IDLE,32.17,0.2,0.0,122.48829534449406
49,CHARGE,10.26,0.2,-6.488993758665515,115.99930158582855
50,DISCHARGE,21.12,0.8,12.021714752896113,128.02101633872465
51,CHARGE,3.83,0.2,-2.422304687688979,125.59871165103567
52,IDLE,7.09,0.8,0.0,125.59871165103567
53,IDLE,7.44,0.8,0.0,125.59871165103567
54,IDLE,30.65,0.8,0.0,125.59871165103567
55,IDLE,61.46,0.8,0.0,125.59871165103567
56,IDLE,62.97,0.8,0.0,125.59871165103567
