Unnamed: 0,Date,ID1_price,Hour,DayOfWeek,Month,ARMAX_forecast_1hour,ARMAX_forecast_3hour,ARMAX_forecast_6hour,ID1_price_scaled,ARMAX_forecast_1hour_scaled,ARMAX_forecast_3hour_scaled,ARMAX_forecast_6hour_scaled
0,2023-01-01 00:00:00,-8.58,0,6,1,-19.27,-15.78,6.57,-0.16,-0.24,-0.21,-0.15
1,2023-01-01 01:00:00,-12.32,1,6,1,-26.48,-25.19,25.3,-0.16,-0.26,-0.23,-0.12
2,2023-01-01 02:00:00,-5.14,2,6,1,-24.61,-20.46,31.8,-0.15,-0.25,-0.22,-0.1
3,2023-01-01 03:00:00,-9.26,3,6,1,-14.18,-8.34,28.77,-0.16,-0.23,-0.19,-0.11
4,2023-01-01 04:00:00,-5.08,4,6,1,-8.8,3.72,28.79,-0.15,-0.22,-0.17,-0.11
5,2023-01-01 05:00:00,-1.68,5,6,1,-1.1,9.94,41.62,-0.15,-0.21,-0.16,-0.08
6,2023-01-01 06:00:00,-4.99,6,6,1,2.39,4.77,26.37,-0.15,-0.2,-0.17,-0.11
7,2023-01-01 07:00:00,-3.14,7,6,1,2.15,3.72,20.4,-0.15,-0.2,-0.17,-0.13
8,2023-01-01 08:00:00,-4.8,8,6,1,-2.07,-2.3,6.78,-0.15,-0.21,-0.18,-0.15
9,2023-01-01 09:00:00,-3.53,9,6,1,-8.94,-4.52,-4.29,-0.15,-0.22,-0.19,-0.17
10,2023-01-01 10:00:00,-7.58,10,6,1,-17.09,4.47,27.5,-0.16,-0.24,-0.17,-0.11
11,2023-01-01 11:00:00,-15.75,11,6,1,-14.0,35.01,59.34,-0.17,-0.23,-0.11,-0.05
12,2023-01-01 12:00:00,-7.79,12,6,1,-12.88,35.93,81.23,-0.16,-0.23,-0.11,-0.01
13,2023-01-01 13:00:00,-5.59,13,6,1,0.14,53.87,90.75,-0.15,-0.2,-0.07,0.01
14,2023-01-01 14:00:00,2.44,14,6,1,18.48,60.29,52.19,-0.14,-0.17,-0.06,-0.06
15,2023-01-01 15:00:00,28.39,15,6,1,57.18,52.6,69.74,-0.11,-0.09,-0.07,-0.03
16,2023-01-01 16:00:00,81.36,16,6,1,71.4,79.12,51.1,-0.05,-0.06,-0.02,-0.07
17,2023-01-01 17:00:00,84.08,17,6,1,89.64,76.85,52.83,-0.05,-0.02,-0.03,-0.06
18,2023-01-01 18:00:00,104.24,18,6,1,80.65,73.4,31.27,-0.03,-0.04,-0.03,-0.1
19,2023-01-01 19:00:00,77.67,19,6,1,61.41,66.02,26.16,-0.06,-0.08,-0.05,-0.11
20,2023-01-01 20:00:00,47.18,20,6,1,64.51,36.07,32.1,-0.09,-0.08,-0.11,-0.1
21,2023-01-01 21:00:00,65.18,21,6,1,57.77,54.48,46.28,-0.07,-0.09,-0.07,-0.07
22,2023-01-01 22:00:00,63.87,22,6,1,64.65,39.64,55.17,-0.07,-0.07,-0.1,-0.06
23,2023-01-01 23:00:00,68.43,23,6,1,54.49,25.04,95.34,-0.07,-0.1,-0.13,0.02
24,2023-01-02 00:00:00,59.71,0,0,1,25.89,29.1,143.2,-0.08,-0.15,-0.12,0.12
